date,quantity
2025-06-01,1.5
2025-06-02,1.5
2025-06-03,1.5
2025-06-04,2.0
2025-06-05,1.5
2025-06-06,1.0
2025-06-07,2.0
2025-06-08,2.0
2025-06-09,2.0
2025-06-10,1.0
2025-06-11,1.5
2025-06-12,0.0
2025-06-13,1.0
2025-06-14,1.5
2025-06-15,1.5
2025-06-16,1.5
2025-06-17,1.5
2025-06-18,1.5
